id,convocation,gender,birthday,last_name,first_name
100101,1,2,04.10.1939,Скорик,Лариса
101001,1,1,24.01.1940,Крижанівський,Володимир
110001,1,1,05.04.1937,Чулаков,Євген
110101,1,1,10.02.1942,Мазур,Володимир
110201,1,1,16.06.1936,Омельченко,Микола
110301,1,1,15.04.1944,Сухий,Василь
110401,1,1,22.04.1934,Меньшов,Володимир
110501,1,1,18.05.1942,Сівцов,Микола
110601,1,1,14.01.1930,Продан,Костянтин
110701,1,1,23.01.1953,Лазаренко,Павло
110801,1,1,29.07.1938,Слєднєв,Володимир
110901,1,1,22.07.1942,Дорошенко,Іван
101101,1,1,12.11.1946,Дзюба,Микола
111001,1,1,14.02.1937,Корнєєв,Альберт
111101,1,1,01.03.1941,Серебрянников,Юрій
111201,1,1,20.02.1933,Звягільський,Юхим
111301,1,1,11.09.1950,Гусєв,Віктор
111401,1,1,26.08.1945,Тризна,Валентин
111501,1,1,21.06.1952,Маслюк,Геннадій
111601,1,1,24.08.1955,Чародєєв,Олександр
111701,1,1,08.10.1929,Марченко,Іван
111801,1,1,22.04.1944,Гребенченко,Леонід
111901,1,1,11.02.1945,Черненко,Віталій
101201,1,1,15.07.1948,Кондратьєв,Ярослав
112001,1,1,20.03.1960,Локтєв,Сергій
112101,1,1,08.05.1940,Панасовський,Олег
112201,1,1,23.05.1953,Топалов,Валерій
112301,1,2,26.06.1951,Сівкова,Лідія
112401,1,1,20.06.1947,Старіченко,Олександр
112501,1,1,26.10.1935,Ляшко,Віктор
112601,1,1,04.09.1934,Маякін,Валентин
112701,1,2,06.01.1953,Богатирьова,Раїса
112801,1,1,10.03.1957,Шеховцов,Олексій
112901,1,1,05.01.1947,Васильєв,Василь
101301,1,1,02.11.1943,Салій,Іван
147301,1,1,02.06.1939,Смирнов,Юрій
113001,1,1,25.03.1940,Хунов,Анатолій
113101,1,1,17.08.1946,Жуков,Володимир
113201,1,1,29.05.1949,Півень,Микола
113301,1,1,01.08.1941,Шевченко,Віктор
113401,1,1,16.01.1961,Макаренко,Сергій
113501,1,1,12.01.1944,Хотлубєй,Юрій
113601,1,1,23.07.1953,"Під'яблонський",Михайло
113701,1,1,03.06.1937,Булянда,Олександр
113801,1,1,24.08.1946,Бандура,Анатолій
113901,1,1,02.03.1937,Задорожний,Борис
101401,1,1,03.03.1941,Карпенко,Віталій
114001,1,1,24.02.1937,Ясинський,Володимир
114101,1,1,25.04.1944,Новіков,Володимир
146001,1,1,25.10.1944,Кисельов,Анатолій
114201,1,1,20.01.1930,Бурего,Микола
114301,1,1,24.01.1965,Колеснік,Сергій
114401,1,1,15.04.1949,Пауль,Віктор
114501,1,1,11.08.1948,Чураков,Валерій
114601,1,1,13.02.1940,Островський,Зіновій
147001,1,1,29.08.1949,Родигін,Валерій
114701,1,1,28.08.1946,Мартинов,Анатолій
114801,1,1,02.01.1956,Толстоухов,Анатолій
114901,1,1,14.07.1947,Герасименко,Станіслав
101501,1,1,05.03.1933,Кислий,Павло
115001,1,1,1960,Спаський,Олександр
147101,1,1,24.05.1947,Сидоренко,Микола
115101,1,1,12.06.1948,Рибін,Олександр
115201,1,1,25.01.1956,Дашивець,Григорій
115301,1,1,04.04.1940,Зайко,Яків
115401,1,1,24.04.1953,Сугоняко,Олександр
115501,1,1,02.12.1953,Мельничук,Віталій
115601,1,1,04.05.1951,Хилюк,Олексій
115701,1,1,03.04.1951,Яценко,Володимир
115801,1,1,10.06.1939,Федоров,Володимир
115901,1,1,15.01.1940,Дупляк,Микола
101601,1,1,07.11.1939,Коцюба,Олександр
116001,1,2,12.03.1939,Янушевич,Станіслава
116101,1,1,19.08.1948,Борейко,Михайло
116201,1,1,17.08.1948,Панасюк,Федір
116301,1,1,04.09.1940,Будько,Валентин
116401,1,1,18.02.1941,Бондарєв,Валерій
116501,1,1,09.05.1941,Рудик,Василь
116601,1,1,20.09.1933,Гайовий,Володимир
116701,1,1,20.10.1939,Єліашевич,Ігор
116801,1,1,16.05.1936,Данчевський,Володимир
116901,1,1,28.03.1931,Шепа,Василь
101701,1,1,05.07.1952,Заєць,Іван
146801,1,1,22.04.1945,Поличко,Андрій
117001,1,1,04.01.1947,Бабенко,Станіслав
117101,1,1,20.02.1933,Галас,Іван
117201,1,1,08.11.1940,Кельман,Дмитро
117301,1,1,19.09.1936,Герц,Іван
117401,1,1,01.01.1945,Габор,Іван
117501,1,1,10.11.1934,Волощук,Михайло
117601,1,1,05.05.1964,Бедь,Віктор
146901,1,1,1938,Попович,Іван
117701,1,1,24.10.1937,Дорчинець,Дмитро
117801,1,1,02.11.1949,Романчук,Володимир
117901,1,1,27.05.1951,Слєсаренко,Віктор
101801,1,1,29.05.1954,Головатий,Сергій
118001,1,1,22.04.1930,Сацький,Віталій
118101,1,1,15.10.1938,Короленко,Євген
118201,1,1,17.06.1928,Порада,Олексій
118301,1,1,03.10.1934,Дубовський,Анатолій
118401,1,1,05.09.1961,Соболєв,Сергій
118501,1,1,20.04.1955,Ізмалков,Валерій
118601,1,1,13.05.1944,Шевченко,Володимир
118701,1,1,30.03.1947,Сичов,Віктор
118801,1,1,07.02.1937,Білоусенко,Олександр
145401,1,1,1943,"Дем'янов",Володимир
118901,1,1,27.03.1947,Ніколенко,Анатолій
101901,1,1,14.04.1943,Мокроусов,Анатолій
119001,1,1,19.01.1938,Причкін,Олексій
145201,1,1,11.06.1943,Гоменюк,Іван
119101,1,1,22.10.1935,Олійник,Борис
119201,1,1,08.02.1956,Бойко,Іван
119301,1,1,26.12.1940,Білий,Леонід
119401,1,1,25.08.1934,Воробйов,Олександр
119501,1,1,21.04.1947,Петренко,Володимир
146501,1,1,24.08.1927,"Лук'яненко",Левко
119601,1,1,20.06.1956,Костицький,Василь
119701,1,1,11.03.1961,Чучук,Маркіян
119801,1,1,30.10.1930,Голубець,Михайло
119901,1,1,26.01.1944,Пушик,Степан
100201,1,1,13.07.1939,Мовчан,Павло
102001,1,1,16.07.1956,Шовкошитний,Володимир
120001,1,1,30.01.1947,Волковецький,Степан
120101,1,1,14.01.1955,Шлемко,Володимир
120201,1,1,28.02.1956,Дума,Зіновій
120301,1,1,01.03.1931,Пиріг,Любомир
120401,1,1,10.07.1932,Новицький,Євген
120501,1,1,16.02.1940,Захарук,Дмитро
120601,1,1,30.07.1938,Ребрик,Богдан
120701,1,1,02.12.1937,Осадчук,Петро
120801,1,2,19.01.1941,Васильєва,Галина
120901,1,1,17.08.1965,Макеєнко,Володимир
102101,1,1,01.01.1959,Ємець,Олександр
145901,1,1,1939,Капштик,Іван
